seed,missing_frac,method,rmse,lam,time
0,0.02,proximal_cv,0.5390594957789524,8.345762252807617,9.873681760393083
0,0.02,batched_auto,0.6970822903315089,15.629525184631348,1.1188020398840308
0,0.02,batched_grid,0.7430738695867531,23.222579956054688,1.0848432425409555
0,0.02,batched_warmstart,0.6970330642160626,15.616349220275879,1.7322459649294615
0,0.02,iso_auto,0.6980381052240859,15.591256141662598,0.5991166327148676
0,0.02,iso_grid,0.7434242337561955,23.222579956054688,0.40228814445436
0,0.02,iso_cv,0.6785004454205378,8.34576267409456,1.210132566280663
0,0.02,iso_warmstart,0.6796119710805713,15.620372772216797,0.16748091578483582
0,0.02,iso_then_proximal,0.5158090131650711,15.591256141662598,0.7638317765668035
0,0.02,iso_renyi,0.682971100078394,11.692330360412598,3.662336495704949
0,0.02,faem,0.44988048828130656,0.33427971601486206,0.05683453567326069
0,0.02,gradml,0.4494181669427762,0.719813883304596,0.6772354552522302
1,0.02,proximal_cv,0.49892523409881784,8.58700942993164,8.26730646006763
1,0.02,batched_auto,0.6942241847538972,15.143651962280273,0.1616783831268549
1,0.02,batched_grid,0.7553072492363007,23.893863677978516,0.6732911868020892
1,0.02,batched_warmstart,0.6942175938017561,15.142029762268066,0.2693817000836134
1,0.02,iso_auto,0.6969842881149692,15.11640739440918,0.09512078855186701
1,0.02,iso_grid,0.7575751597579249,23.893863677978516,0.39099869038909674
1,0.02,iso_cv,0.6749885868833249,8.587009638940184,1.2245659213513136
1,0.02,iso_warmstart,0.6758808050498804,15.127147674560547,0.14227106422185898
1,0.02,iso_then_proximal,0.48773614677766136,15.11640739440918,0.2126477211713791
1,0.02,iso_renyi,0.681585007262512,11.737345695495605,1.695350312627852
1,0.02,faem,0.4137018746652868,0.3245910704135895,0.07256680447608232
1,0.02,gradml,0.41488823832332605,0.7080364227294922,0.12803028989583254
2,0.02,proximal_cv,0.5014509194912764,8.279186248779297,8.030329124070704
2,0.02,batched_auto,0.6473563270213355,15.458050727844238,0.14450677763670683
2,0.02,batched_grid,0.6920799558924521,23.037328720092773,0.9064362542703748
2,0.02,batched_warmstart,0.6473808704825352,15.46554183959961,0.3259398601949215
2,0.02,iso_auto,0.6490328253428217,15.436851501464844,0.09473341517150402
2,0.02,iso_grid,0.6926956454790211,23.037328720092773,0.5118889585137367
2,0.02,iso_cv,0.6315359223547959,8.279186412877054,1.2510593878105283
2,0.02,iso_warmstart,0.6302079973405253,15.450643539428711,0.16059845127165318
2,0.02,iso_then_proximal,0.4704320045107499,15.436851501464844,0.22057072259485722
2,0.02,iso_renyi,0.6355040906828543,11.743509292602539,1.7616397785022855
2,0.02,faem,0.4126371202105739,0.33421996235847473,0.2269805669784546
2,0.02,gradml,0.41501695010229933,0.7208625078201294,0.1537357596680522
0,0.1,proximal_cv,0.5495689429276152,8.346419334411621,9.298386936075985
0,0.1,batched_auto,0.7455300251421896,15.450058937072754,0.16812487971037626
0,0.1,batched_grid,0.7914096604981742,23.224407196044922,0.668699168600142
0,0.1,batched_warmstart,0.7455259754930761,15.448976516723633,0.31959560606628656
0,0.1,iso_auto,0.7476724462476572,15.418719291687012,0.1030837893486023
0,0.1,iso_grid,0.7929921149121227,23.224407196044922,0.33912810776382685
0,0.1,iso_cv,0.7330729172281298,8.346419467434208,1.1922259610146284
0,0.1,iso_warmstart,0.7285357281140877,15.42962646484375,0.1659485474228859
0,0.1,iso_then_proximal,0.5462194883055213,15.418719291687012,0.24865186214447021
0,0.1,iso_renyi,0.7341166892908852,11.45028305053711,1.7040939535945654
0,0.1,faem,0.46420339638435576,0.3582437038421631,0.09489360079169273
0,0.1,gradml,0.46346572724846813,0.7168318033218384,0.1830527801066637
1,0.1,proximal_cv,0.5507610699067448,8.588711738586426,9.129698706790805
1,0.1,batched_auto,0.7639029500556308,14.990557670593262,0.16459311358630657
1,0.1,batched_grid,0.8212440606646004,23.89859962463379,0.8252144195139408
1,0.1,batched_warmstart,0.7639368739788542,15.001279830932617,0.30964503437280655
1,0.1,iso_auto,0.765539639876275,14.97685718536377,0.10479046404361725
1,0.1,iso_grid,0.822765878354679,23.89859962463379,0.4161296980455518
1,0.1,iso_cv,0.7496722949067307,8.588711599532004,1.2266823956742883
1,0.1,iso_warmstart,0.743154750783422,14.984254837036133,0.14265813119709492
1,0.1,iso_then_proximal,0.5422665294830281,14.97685718536377,0.2471477473154664
1,0.1,iso_renyi,0.7525548908577296,11.486902236938477,1.7873570388182998
1,0.1,faem,0.45543805058795406,0.3503728210926056,0.0727514186874032
1,0.1,gradml,0.45461467302123715,0.6987782120704651,0.13293360825628042
2,0.1,proximal_cv,0.5295977658751433,8.272584915161133,8.229560615494847
2,0.1,batched_auto,0.707010635326797,15.290511131286621,0.1531504476442933
2,0.1,batched_grid,0.750212014580931,23.018959045410156,0.7869122587144375
2,0.1,batched_warmstart,0.7070393648650259,15.300783157348633,0.2965049743652344
2,0.1,iso_auto,0.7090660401703499,15.26058292388916,0.1036730632185936
2,0.1,iso_grid,0.7518296422294228,23.018959045410156,0.3641110695898533
2,0.1,iso_cv,0.6970486485052628,8.272584645150365,1.2891129404306412
2,0.1,iso_warmstart,0.6891679863022627,15.280473709106445,0.13142195530235767
2,0.1,iso_then_proximal,0.5091316108619275,15.26058292388916,0.22334316186606884
2,0.1,iso_renyi,0.6975305689813458,11.480093002319336,3.3776601208373904
2,0.1,faem,0.45666671726578106,0.35852348804473877,0.05802024248987436
2,0.1,gradml,0.4550704621637354,0.716652512550354,0.10563449934124947
0,0.3,proximal_cv,0.5928777696973168,8.38721752166748,9.092634143307805
0,0.3,batched_auto,0.8218282719659951,14.903586387634277,0.2024375954642892
0,0.3,batched_grid,0.855315464336181,23.33793067932129,0.8177205892279744
0,0.3,batched_warmstart,0.821835929678602,14.907033920288086,0.3874127669259906
0,0.3,iso_auto,0.8216805619794955,14.854044914245605,0.1299523590132594
0,0.3,iso_grid,0.855090073990201,23.33793067932129,0.40079215448349714
0,0.3,iso_cv,0.8195394613621027,8.387217454146814,1.2211263794451952
0,0.3,iso_warmstart,0.8063112961095088,14.883376121520996,0.20096625480800867
0,0.3,iso_then_proximal,0.6113417188182357,14.854044914245605,0.3026591073721647
0,0.3,iso_renyi,0.8158726480457917,10.863612174987793,1.7046870728954673
0,0.3,faem,0.537892971918079,0.4312885105609894,0.0926601318642497
0,0.3,gradml,0.5386007838080737,0.7208986878395081,0.14698378648608923
1,0.3,proximal_cv,0.6131389436512672,8.62216567993164,9.036545013077557
1,0.3,batched_auto,0.8649062025711897,14.56210994720459,0.22127907071262598
1,0.3,batched_grid,0.9052532682549519,23.991687774658203,0.6634015226736665
1,0.3,batched_warmstart,0.86491617652451,14.566567420959473,0.40320551861077547
1,0.3,iso_auto,0.865083704182954,14.532734870910645,0.13347004540264606
1,0.3,iso_grid,0.9057981423009936,23.991687774658203,0.3727359939366579
1,0.3,iso_cv,0.8615198824851823,8.622165721762064,1.1688723638653755
1,0.3,iso_warmstart,0.8475308273919903,14.52272891998291,0.19551804289221764
1,0.3,iso_then_proximal,0.6362400245367051,14.532734870910645,0.35406694654375315
1,0.3,iso_renyi,0.8590417735083185,10.884700775146484,1.8269874406978488
1,0.3,faem,0.5482025661341354,0.42525020241737366,0.16911943536251783
1,0.3,gradml,0.5483993748313748,0.6969025135040283,0.1555248899385333
2,0.3,proximal_cv,0.5752339657116693,8.283112525939941,9.210103694349527
2,0.3,batched_auto,0.8323615221267454,14.888129234313965,0.23325250297784805
2,0.3,batched_grid,0.8691547504740208,23.048254013061523,0.8684208933264017
2,0.3,batched_warmstart,0.8323438422317776,14.88099479675293,0.3845171546563506
2,0.3,iso_auto,0.8310080604991604,14.845001220703125,0.13108644541352987
2,0.3,iso_grid,0.8682140356845987,23.048254013061523,0.33173548709601164
2,0.3,iso_cv,0.8294165198473865,8.283112709210679,1.189982419833541
2,0.3,iso_warmstart,0.8176128146573108,14.84708309173584,0.18948301393538713
2,0.3,iso_then_proximal,0.6026799525629652,14.845001220703125,0.3190531935542822
2,0.3,iso_renyi,0.8245404761817917,10.879426002502441,1.7227788660675287
2,0.3,faem,0.5378051161689615,0.43068498373031616,0.08875429164618254
2,0.3,gradml,0.5339560822085642,0.7216763496398926,0.12517419923096895
0,0.6,proximal_cv,0.8704589972066111,8.492681503295898,8.59792578034103
0,0.6,batched_auto,1.0084687677847524,14.361591339111328,0.31266005989164114
0,0.6,batched_grid,1.0126119234328552,23.631391525268555,0.6583042945712805
0,0.6,batched_warmstart,1.0084701383701522,14.364930152893066,0.7760542631149292
0,0.6,iso_auto,1.0076424971176858,14.313169479370117,0.279104670509696
0,0.6,iso_grid,1.012274541882998,23.631391525268555,0.32924011163413525
0,0.6,iso_cv,1.0077690373632102,8.492681964432382,1.1985615706071258
0,0.6,iso_warmstart,1.005521104539155,14.315190315246582,0.3388793580234051
0,0.6,iso_then_proximal,0.9454865384183699,14.313169479370117,0.8888692334294319
0,0.6,iso_renyi,1.0071530692954134,10.203123092651367,1.351740462705493
0,0.6,faem,0.8208248745335109,0.6474667191505432,0.10557569563388824
0,0.6,gradml,0.8199933449559107,0.7537647485733032,0.2056734636425972
1,0.6,proximal_cv,0.8801107998086316,8.608201026916504,7.721491023898125
1,0.6,batched_auto,1.0000115823491849,14.50898551940918,0.3271270040422678
1,0.6,batched_grid,1.0038405641274701,23.952831268310547,0.6743296841159463
