snr,seed,method,rmse,lambda,time,error
0.1,0,proximal_cv,0.10386094450950623,31.05013084411621,31.215074157342315,
0.1,0,matlap_auto,0.10326751321554184,69.22762298583984,3.121314144693315,
0.1,0,matlap_grid,0.10335513204336166,223.46334838867188,4.0940057979896665,
0.1,0,lowrank_auto,0.10334405303001404,499.6875,0.08360033389180899,
0.1,0,lowrank_grid,0.11911329627037048,59.94841766357422,2.125549898482859,
0.1,0,lowrank_cv,0.10338308662176132,223.4633445739746,8.533396785147488,
0.1,0,iso_auto,0.10328351706266403,69.02375793457031,4.788484299555421,
0.1,0,iso_grid,0.10335582494735718,223.46334838867188,6.360210346058011,
0.1,0,iso_cv,0.10651183128356934,2.234633445739746,25.608899083919823,
0.1,1,proximal_cv,0.10052662342786789,31.021869659423828,30.555070584639907,
0.1,1,matlap_auto,0.1003054603934288,69.42749786376953,3.1852740552276373,
0.1,1,matlap_grid,0.10049328953027725,223.25994873046875,4.124035242013633,
0.1,1,lowrank_auto,0.10047806799411774,499.6884460449219,0.08906748332083225,
0.1,1,lowrank_grid,0.11617705971002579,59.89385223388672,2.234660397283733,
0.1,1,lowrank_cv,0.10049492865800858,223.25994491577148,8.57875233516097,
0.1,1,iso_auto,0.10036648064851761,69.21488952636719,4.705687019973993,
0.1,1,iso_grid,0.10049483180046082,223.25994873046875,6.180023984983563,
0.1,1,iso_cv,0.10034400969743729,59.893851547992305,25.277710932306945,
0.1,2,proximal_cv,0.10288988053798676,31.11361312866211,33.04871195461601,
0.1,2,matlap_auto,0.10255727171897888,69.42852783203125,3.1404371559619904,
0.1,2,matlap_grid,0.1026739701628685,223.9202117919922,4.136573724448681,
0.1,2,lowrank_auto,0.10265612602233887,499.6870422363281,0.07307279761880636,
0.1,2,lowrank_grid,0.11788753420114517,60.070980072021484,2.237654003314674,
0.1,2,lowrank_cv,0.10266485810279846,223.9202117919922,8.736977539025247,
0.1,2,iso_auto,0.10259108990430832,69.2010726928711,4.618752509355545,
0.1,2,iso_grid,0.10267513990402222,223.9202117919922,6.089911610819399,
0.1,2,iso_cv,0.10258441418409348,60.07098106525228,26.041114904917777,
0.3,0,proximal_cv,0.2830178439617157,16.08233642578125,31.504797221161425,
0.3,0,matlap_auto,0.30061280727386475,56.75596237182617,3.1960058650001884,
0.3,0,matlap_grid,0.3019537031650543,59.94841766357422,6.828977789729834,
0.3,0,lowrank_auto,0.3098698854446411,499.40924072265625,0.08464175742119551,
0.3,0,lowrank_grid,0.31242477893829346,31.05013084411621,2.8378118770197034,
0.3,0,lowrank_cv,0.2974897623062134,59.948417488774595,9.744719862006605,
0.3,0,iso_auto,0.3008829653263092,56.76130294799805,4.696403043344617,
0.3,0,iso_grid,0.30246415734291077,59.94841766357422,6.189437166787684,
0.3,0,iso_cv,0.27607661485671997,16.082336753080924,26.095683966763318,
0.3,1,proximal_cv,0.2789837419986725,16.067697525024414,34.760953704826534,
0.3,1,matlap_auto,0.29307806491851807,57.4084358215332,3.311451935209334,
0.3,1,matlap_grid,0.29404929280281067,59.89385223388672,4.943490954115987,
0.3,1,lowrank_auto,0.3012882173061371,499.42474365234375,0.07466367725282907,
0.3,1,lowrank_grid,0.30569887161254883,31.021869659423828,2.1199398804455996,
0.3,1,lowrank_cv,0.28942859172821045,59.893851547992305,9.75989297311753,
0.3,1,iso_auto,0.29326409101486206,57.39816665649414,4.731328195892274,
0.3,1,iso_grid,0.294460654258728,59.89385223388672,6.1798249604180455,
0.3,1,iso_cv,0.27119648456573486,16.06769837109071,26.058487601578236,
0.3,2,proximal_cv,0.28451791405677795,16.115217208862305,32.061315468512475,
0.3,2,matlap_auto,0.2995920479297638,57.66032409667969,3.309677886776626,
0.3,2,matlap_grid,0.3005511462688446,60.070980072021484,4.192555502988398,
0.3,2,lowrank_auto,0.3078387379646301,499.1497497558594,0.10742730367928743,
0.3,2,lowrank_grid,0.3115067183971405,31.11361312866211,2.163989252410829,
0.3,2,lowrank_cv,0.2965257465839386,60.07098106525228,9.902595560066402,
0.3,2,iso_auto,0.2998659610748291,57.64411163330078,4.696388429030776,
0.3,2,iso_grid,0.30105704069137573,60.070980072021484,6.199990604072809,
0.3,2,iso_cv,0.2760150730609894,16.115216832208038,25.946458058431745,
1.0,0,proximal_cv,0.3686199188232422,16.08233642578125,32.33652280457318,
1.0,0,matlap_auto,0.5155590772628784,24.92373275756836,1.1526088574901223,
1.0,0,matlap_grid,0.5373556613922119,31.05013084411621,5.5246483804658055,
1.0,0,lowrank_auto,1.0321526527404785,387.4677429199219,1.7910633105784655,
1.0,0,lowrank_grid,0.5795532464981079,16.08233642578125,3.1881286343559623,
