r_true,seed,method,rmse,lambda,time,error
1,0,proximal_cv,0.2275705188512802,16.08233642578125,35.40571042988449,
1,0,matlap_auto,0.2539637088775635,30.53529167175293,2.1230241311714053,
1,0,matlap_grid,0.2552538812160492,31.05013084411621,6.007271691225469,
1,0,lowrank_auto,1.0301246643066406,366.0581970214844,3.2756936084479094,
1,0,lowrank_grid,0.445879727602005,16.08233642578125,4.843900252133608,
1,0,lowrank_cv,0.311759352684021,31.050131044308962,12.517812436446548,
1,0,iso_auto,0.2579704821109772,30.548503875732422,2.532294064760208,
1,0,iso_grid,0.2587382197380066,31.05013084411621,8.529099673964083,
1,0,iso_cv,0.24329090118408203,16.082336753080924,32.88707881048322,
1,1,proximal_cv,0.23596110939979553,16.067697525024414,35.764187754131854,
1,1,matlap_auto,0.2613379955291748,30.43576431274414,1.411649664863944,
1,1,matlap_grid,0.26278385519981384,31.021869659423828,6.022480042651296,
1,1,lowrank_auto,1.0416665077209473,353.2312316894531,1.7599451271817088,
1,1,lowrank_grid,0.45560210943222046,16.067697525024414,4.4340714905411005,
1,1,lowrank_cv,0.32292377948760986,31.021868753445933,13.583572707138956,
1,1,iso_auto,0.2656775712966919,30.44873809814453,2.2250916957855225,
1,1,iso_grid,0.2663505971431732,31.021869659423828,8.911822671070695,
1,1,iso_cv,0.2512240707874298,16.06769837109071,33.428124397061765,
1,2,proximal_cv,0.2271052896976471,16.115217208862305,33.817456843331456,
1,2,matlap_auto,0.2486514002084732,29.371334075927734,1.4321902906522155,
1,2,matlap_grid,0.25209712982177734,31.11361312866211,6.157205616123974,
1,2,lowrank_auto,1.0937269926071167,309.1961669921875,2.6192603800445795,
1,2,lowrank_grid,0.44204795360565186,16.115217208862305,4.777219887822866,
1,2,lowrank_cv,0.3093653619289398,31.11361253840518,15.735779849812388,
1,2,iso_auto,0.253027081489563,29.386470794677734,2.1187984542921185,
1,2,iso_grid,0.2558070123195648,31.11361312866211,8.975577656179667,
1,2,iso_cv,0.24073408544063568,16.115216832208038,34.64735843706876,
3,0,proximal_cv,0.30071011185646057,16.08233642578125,31.062655882909894,
3,0,matlap_auto,0.40786078572273254,26.598417282104492,1.3219018653035164,
3,0,matlap_grid,0.4210951030254364,31.05013084411621,5.285540043376386,
3,0,lowrank_auto,1.001494288444519,386.37615966796875,1.8069377522915602,
3,0,lowrank_grid,0.5178182125091553,16.08233642578125,4.188064343295991,
3,0,lowrank_cv,0.43362295627593994,31.050131044308962,10.99554913584143,
3,0,iso_auto,0.4114312529563904,26.56495475769043,1.8987430334091187,
3,0,iso_grid,0.4235501289367676,31.05013084411621,7.339358437806368,
3,0,iso_cv,0.3957560658454895,16.082336753080924,29.342737255617976,
3,1,proximal_cv,0.3116414546966553,16.067697525024414,32.40146045945585,
3,1,matlap_auto,0.4203414022922516,26.4058837890625,1.2486067386344075,
3,1,matlap_grid,0.4344029426574707,31.021869659423828,6.056960517540574,
3,1,lowrank_auto,1.033729910850525,387.0527648925781,1.9342356631532311,
3,1,lowrank_grid,0.5254371762275696,16.067697525024414,3.045894196256995,
3,1,lowrank_cv,0.4454750120639801,31.021868753445933,11.991011282429099,
3,1,iso_auto,0.4251589775085449,26.41051483154297,1.9800019729882479,
3,1,iso_grid,0.4380205571651459,31.021869659423828,7.321635972708464,
3,1,iso_cv,0.40909308195114136,16.06769837109071,29.33132636733353,
3,2,proximal_cv,0.31753090023994446,16.115217208862305,31.08890501689166,
3,2,matlap_auto,0.4279775321483612,26.14315414428711,1.9114693878218532,
3,2,matlap_grid,0.4433472454547882,31.11361312866211,5.522967532277107,
3,2,lowrank_auto,1.0563874244689941,377.46466064453125,1.797051064670086,
3,2,lowrank_grid,0.5400709509849548,16.115217208862305,3.321820829063654,
3,2,lowrank_cv,0.4604089558124542,31.11361253840518,14.059210340492427,
3,2,iso_auto,0.43328896164894104,26.12725830078125,1.8945285975933075,
3,2,iso_grid,0.4473553001880646,31.11361312866211,7.42419099714607,
3,2,iso_cv,0.41752517223358154,16.115216832208038,30.27995298150927,
5,0,proximal_cv,0.3686199188232422,16.08233642578125,34.273500681854784,
5,0,matlap_auto,0.5155590772628784,24.92373275756836,1.2707176255062222,
5,0,matlap_grid,0.5373556613922119,31.05013084411621,5.168430916965008,
5,0,lowrank_auto,1.0321526527404785,387.4677429199219,2.543781351298094,
5,0,lowrank_grid,0.5795532464981079,16.08233642578125,3.190023746341467,
5,0,lowrank_cv,0.5795485377311707,16.082336753080924,11.106325290165842,
5,0,iso_auto,0.5207470059394836,24.89765739440918,1.8156518572941422,
5,0,iso_grid,0.5411787033081055,31.05013084411621,7.330686083063483,
5,0,iso_cv,0.5041202306747437,16.082336753080924,29.109174600802362,
5,1,proximal_cv,0.36341550946235657,16.067697525024414,33.862523052841425,
5,1,matlap_auto,0.5120929479598999,25.236976623535156,1.2991412980481982,
5,1,matlap_grid,0.532917320728302,31.021869659423828,5.934892585501075,
5,1,lowrank_auto,1.0036141872406006,392.9236755371094,1.799925608560443,
5,1,lowrank_grid,0.5696502327919006,16.067697525024414,3.246334365569055,
5,1,lowrank_cv,0.5696468353271484,16.06769837109071,11.156194440089166,
5,1,iso_auto,0.5167279243469238,25.2164249420166,1.910733101889491,
5,1,iso_grid,0.5362818837165833,31.021869659423828,7.354139493778348,
5,1,iso_cv,0.4989640414714813,16.06769837109071,28.484450116753578,
5,2,proximal_cv,0.3711708188056946,16.115217208862305,34.70018227118999,
5,2,matlap_auto,0.5255419015884399,25.328502655029297,1.212203798815608,
5,2,matlap_grid,0.5471807718276978,31.11361312866211,5.923901228234172,
5,2,lowrank_auto,1.0255593061447144,395.9667053222656,2.0479456363245845,
5,2,lowrank_grid,0.5861615538597107,16.115217208862305,3.0260326405987144,
5,2,lowrank_cv,0.5389581918716431,31.11361253840518,11.274408364668489,
5,2,iso_auto,0.5306681990623474,25.321487426757812,1.9096160745248199,
5,2,iso_grid,0.5509541034698486,31.11361312866211,7.385890117846429,
5,2,iso_cv,0.5117614269256592,16.115216832208038,28.26489924453199,
10,0,proximal_cv,0.48985326290130615,16.08233642578125,40.4198700170964,
10,0,matlap_auto,0.688961386680603,23.092615127563477,1.1415559658780694,
10,0,matlap_grid,0.7221726179122925,31.05013084411621,4.78241512645036,
10,0,lowrank_auto,1.0756300687789917,387.60284423828125,2.672428272664547,
10,0,lowrank_grid,0.6737574934959412,16.08233642578125,2.5908360611647367,
10,0,lowrank_cv,0.6737796068191528,16.082336753080924,10.586711400188506,
10,0,iso_auto,0.6928109526634216,23.062484741210938,1.7273919191211462,
10,0,iso_grid,0.7248375415802002,31.05013084411621,7.220536277629435,
10,0,iso_cv,0.676142692565918,16.082336753080924,27.737710599787533,
10,1,proximal_cv,0.47441112995147705,16.067697525024414,36.340578460134566,
10,1,matlap_auto,0.6558293700218201,24.06380271911621,1.1550064031034708,
10,1,matlap_grid,0.682996392250061,31.021869659423828,4.724195873364806,
10,1,lowrank_auto,0.9984915256500244,399.935791015625,1.9150678254663944,
10,1,lowrank_grid,0.6524863243103027,16.067697525024414,3.647459179162979,
10,1,lowrank_cv,0.652495801448822,16.06769837109071,10.662895440123975,
10,1,iso_auto,0.6592268943786621,24.013906478881836,1.7588629331439734,
10,1,iso_grid,0.6855432391166687,31.021869659423828,6.999362299218774,
10,1,iso_cv,0.6411430835723877,16.06769837109071,27.447878703475,
10,2,proximal_cv,0.4773373007774353,16.115217208862305,36.48207326512784,
10,2,matlap_auto,0.6609619855880737,24.07267951965332,1.088071834295988,
10,2,matlap_grid,0.688524603843689,31.11361312866211,4.800159564241767,
10,2,lowrank_auto,0.9904493689537048,401.3918762207031,1.747940274886787,
10,2,lowrank_grid,0.6562791466712952,16.115217208862305,3.58506060577929,
10,2,lowrank_cv,0.6562960147857666,16.115216832208038,9.692541403695941,
10,2,iso_auto,0.6642011404037476,24.05792808532715,1.834499823860824,
10,2,iso_grid,0.6910396814346313,31.11361312866211,6.919348519295454,
10,2,iso_cv,0.6456156373023987,16.115216832208038,27.43432505056262,
20,0,proximal_cv,0.6351599097251892,16.08233642578125,44.81159135978669,
20,0,matlap_auto,0.8204352259635925,22.495258331298828,0.9794375775381923,
20,0,matlap_grid,0.8500816822052002,31.05013084411621,4.628840170800686,
20,0,lowrank_auto,1.048142910003662,394.00701904296875,1.8157702963799238,
20,0,lowrank_grid,0.7574829459190369,16.08233642578125,3.296242332085967,
20,0,lowrank_cv,0.7574981451034546,16.082336753080924,9.486682173795998,
20,0,iso_auto,0.8229098320007324,22.452486038208008,1.73641025274992,
20,0,iso_grid,0.8518150448799133,31.05013084411621,6.882721581496298,
20,0,iso_cv,0.8091673851013184,16.082336753080924,26.70078797172755,
20,1,proximal_cv,0.6155720353126526,16.067697525024414,42.8951472369954,
20,1,matlap_auto,0.7920994162559509,22.89667510986328,1.8433007597923279,
20,1,matlap_grid,0.8189660906791687,31.021869659423828,4.698738237842917,
20,1,lowrank_auto,1.007075309753418,398.49346923828125,1.8631635950878263,
20,1,lowrank_grid,0.7494054436683655,16.067697525024414,2.5896724238991737,
20,1,lowrank_cv,0.7494176626205444,16.06769837109071,10.016717282123864,
20,1,iso_auto,0.795073390007019,22.83980369567871,1.8208934282884002,
20,1,iso_grid,0.8214202523231506,31.021869659423828,6.914312914013863,
20,1,iso_cv,0.7809832096099854,16.06769837109071,27.173008903861046,
20,2,proximal_cv,0.6284476518630981,16.115217208862305,42.08470169082284,
20,2,matlap_auto,0.8095167875289917,22.898969650268555,1.0766704408451915,
20,2,matlap_grid,0.8379114866256714,31.11361312866211,4.642619129270315,
20,2,lowrank_auto,1.025665044784546,401.63427734375,1.7711333138868213,
20,2,lowrank_grid,0.7536500096321106,16.115217208862305,3.6145396158099174,
20,2,lowrank_cv,0.7536695003509521,16.115216832208038,9.513827209360898,
20,2,iso_auto,0.8121300935745239,22.856775283813477,1.729349252767861,
20,2,iso_grid,0.839901864528656,31.11361312866211,6.989749980159104,
20,2,iso_cv,0.7969902753829956,16.115216832208038,27.007349611259997,
40,0,proximal_cv,0.7912039160728455,16.08233642578125,40.221695370040834,
40,0,matlap_auto,0.9174742698669434,22.16187858581543,1.0941004687920213,
40,0,matlap_grid,0.9378986954689026,31.05013084411621,5.175953719764948,
40,0,lowrank_auto,1.040594220161438,400.2963562011719,1.7630896531045437,
40,0,lowrank_grid,0.8600327968597412,16.08233642578125,2.6156007265672088,
40,0,lowrank_cv,0.8693341612815857,31.050131044308962,10.171408739872277,
40,0,iso_auto,0.9200472831726074,22.110137939453125,1.6125990645959973,
40,0,iso_grid,0.940105140209198,31.05013084411621,6.811451457440853,
40,0,iso_cv,0.9106333255767822,16.082336753080924,26.716297425329685,
40,1,proximal_cv,0.77324378490448,16.067697525024414,37.37748150434345,
40,1,matlap_auto,0.8931611180305481,22.710538864135742,1.1424406124278903,
40,1,matlap_grid,0.9112366437911987,31.021869659423828,4.625031204894185,
40,1,lowrank_auto,1.0055031776428223,407.434814453125,1.8605757309123874,
40,1,lowrank_grid,0.8346543312072754,16.067697525024414,2.46057559736073,
40,1,lowrank_cv,0.8423720598220825,31.021868753445933,9.640241862274706,
40,1,iso_auto,0.8956319093704224,22.65848159790039,1.7158845039084554,
40,1,iso_grid,0.913543701171875,31.021869659423828,6.920512266457081,
40,1,iso_cv,0.8857901096343994,16.06769837109071,27.09360723476857,
40,2,proximal_cv,0.7923980951309204,16.115217208862305,37.05290573835373,
40,2,matlap_auto,0.9125820398330688,22.586008071899414,1.1482248399406672,
40,2,matlap_grid,0.931186854839325,31.11361312866211,5.316630004905164,
40,2,lowrank_auto,1.0276027917861938,406.1542663574219,1.985952414572239,
40,2,lowrank_grid,0.8590754270553589,16.115217208862305,2.6936179818585515,
40,2,lowrank_cv,0.8676090240478516,31.11361253840518,9.398763882927597,
40,2,iso_auto,0.9154411554336548,22.519176483154297,1.7464123331010342,
40,2,iso_grid,0.9336959719657898,31.11361312866211,6.809396930038929,
40,2,iso_cv,0.9058899283409119,16.115216832208038,26.950301302596927,
