missing_frac,seed,method,rmse,lambda,time,error
0.02,0,proximal_cv,0.36745208501815796,14.701638221740723,41.03786960244179,
0.02,0,matlap_auto,0.4609564542770386,25.995298385620117,0.8980779992416501,
0.02,0,matlap_grid,0.4896952211856842,33.96269226074219,7.0395400216802955,
0.02,0,lowrank_auto,1.072670817375183,348.97821044921875,1.6536624701693654,
0.02,0,lowrank_grid,0.561380922794342,14.701638221740723,3.671941918320954,
0.02,0,lowrank_cv,0.4823702871799469,33.962690408974474,12.386527303606272,
0.02,0,iso_auto,0.46549323201179504,25.96026611328125,1.4111752538010478,
0.02,0,iso_grid,0.4924391210079193,33.96269226074219,10.881322224624455,
0.02,0,iso_cv,0.4410432279109955,14.701637924377975,42.23537696804851,
0.02,0,iso_grid_loo,0.4924391210079193,33.96269226074219,10.93281949404627,
0.02,0,iso_grid_renyi,0.4411868155002594,14.701638221740723,10.915110547095537,
0.02,0,iso_grid_is,0.4924391210079193,33.96269226074219,11.029049401171505,
0.02,0,iso_adaptive,0.44653743505477905,18.16801555186992,14.914102390408516,
0.02,1,proximal_cv,0.35736045241355896,14.691193580627441,40.84180013183504,
0.02,1,matlap_auto,0.43493226170539856,26.246965408325195,0.9851454542949796,
0.02,1,matlap_grid,0.46169233322143555,33.938560485839844,6.5702539552003145,
0.02,1,lowrank_auto,1.0232272148132324,356.4241638183594,1.6877677096053958,
0.02,1,lowrank_grid,0.5548796653747559,14.691193580627441,3.4736891435459256,
0.02,1,lowrank_cv,0.4571557343006134,33.93856202926062,12.57028248347342,
0.02,1,iso_auto,0.439156711101532,26.217004776000977,1.5316145038232207,
0.02,1,iso_grid,0.4643092453479767,33.938560485839844,9.994813473895192,
0.02,1,iso_cv,0.4158625304698944,14.691193324789916,42.77986808586866,
0.02,1,iso_grid_loo,0.4643092453479767,33.938560485839844,10.095392044633627,
0.02,1,iso_grid_renyi,0.4158601462841034,14.691193580627441,10.074436440132558,
0.02,1,iso_grid_is,0.4643092453479767,33.938560485839844,10.069916507229209,
0.02,1,iso_adaptive,0.4207087457180023,18.155108780423785,13.645006528124213,
0.02,2,proximal_cv,0.3535107672214508,14.754505157470703,40.18242343980819,
0.02,2,matlap_auto,0.4215565323829651,26.263301849365234,0.9533163504675031,
0.02,2,matlap_grid,0.44758307933807373,34.08481979370117,6.7193770706653595,
0.02,2,lowrank_auto,0.98368239402771,356.46893310546875,1.6660503316670656,
0.02,2,lowrank_grid,0.5677042007446289,14.754505157470703,4.624819768592715,
0.02,2,lowrank_cv,0.45588308572769165,34.08481949471102,13.266512931324542,
0.02,2,iso_auto,0.4264213442802429,26.25992202758789,1.616319740191102,
0.02,2,iso_grid,0.4508650302886963,34.08481979370117,10.724547915160656,
0.02,2,iso_cv,0.40447378158569336,14.754504690141019,42.03559858351946,
0.02,2,iso_grid_loo,0.4508650302886963,34.08481979370117,10.7436887267977,
0.02,2,iso_grid_renyi,0.4046085774898529,14.754505157470703,10.726001014001667,
0.02,2,iso_grid_is,0.4508650302886963,34.08481979370117,10.837784796021879,
0.02,2,iso_adaptive,0.409000039100647,18.233348541602588,13.873121291399002,
0.1,0,proximal_cv,0.36225396394729614,14.70358943939209,42.616700439713895,
0.1,0,matlap_auto,0.46900802850723267,25.521305084228516,0.9422329561784863,
0.1,0,matlap_grid,0.49924811720848083,33.96719741821289,7.241143189370632,
0.1,0,lowrank_auto,1.0307365655899048,368.4174499511719,2.4653276624158025,
0.1,0,lowrank_grid,0.5711073279380798,14.70358943939209,3.955224043689668,
0.1,0,lowrank_cv,0.49207547307014465,33.96719835448151,13.264050642028451,
0.1,0,iso_auto,0.4734828472137451,25.514577865600586,1.5840337462723255,
0.1,0,iso_grid,0.5019314289093018,33.96719741821289,12.023370596580207,
0.1,0,iso_cv,0.4525258243083954,14.703589306374784,42.28371702320874,
0.1,0,iso_grid_loo,0.5019314289093018,33.96719741821289,11.951272091828287,
0.1,0,iso_grid_renyi,0.4527055323123932,14.70358943939209,12.030053905211389,
0.1,0,iso_grid_is,0.5019314289093018,33.96719741821289,12.062129547819495,
0.1,0,iso_adaptive,0.4568178653717041,18.170427548693628,16.613377465866506,
0.1,1,proximal_cv,0.3635670244693756,14.691193580627441,41.21275981608778,
