seed,missing_frac,lam_heur,lam_batched_auto,lam_batched_oracle,lam_batched_elbo,rmse_batched_auto,rmse_batched_oracle,rmse_batched_elbo,lam_iso_auto,lam_iso_oracle,lam_iso_elbo,rmse_iso_auto,rmse_iso_oracle,rmse_iso_elbo,lam_prox_oracle,lam_prox_cv,rmse_prox_oracle,rmse_prox_cv
0,0.02,13.921571200001337,15.662545204162598,10.241296023189399,0.13921571200001337,0.697208871437164,0.6780390130163055,1.0027348945798038,15.639823913574219,10.241296023189399,1392.1571200001335,0.6986422698979551,0.6808585661914792,1.0077733493022194,10.241296023189399,10.24129581451416,0.522742622895872,0.522742622895872
1,0.02,14.323995391658206,15.17259693145752,10.537336262788957,0.14323995391658206,0.6943403213103598,0.6747385247217038,1.0280797684662535,15.153517723083496,10.537336262788957,1432.3995391658207,0.6973482554207108,0.6790237399561144,1.0341613647907186,10.537336262788957,10.537336349487305,0.48453997242332336,0.48453997242332336
2,0.02,13.810515302899645,15.49519157409668,10.159598612674472,0.13810515302899645,0.6474806979076827,0.6296533446548035,0.9481797380953078,15.477201461791992,10.159598612674472,1381.0515302899646,0.6502722707339602,0.6339576932719725,0.9533064608923596,10.159598612674472,10.159598350524902,0.48525001839186704,0.48525001839186704
0,0.1,13.922666797324032,15.495847702026367,10.242101990873845,0.13922666797324032,0.7456969421168929,0.7293113976720557,1.0097247937862708,15.475838661193848,10.242101990873845,1392.2666797324032,0.7473831952481336,0.7319526944631625,1.0117531006935683,10.242101990873845,10.242101669311523,0.5384403926246804,0.5384403926246804
1,0.1,14.326834433035716,15.042431831359863,10.539424781588412,0.14326834433035715,0.7640724360680181,0.7487921729627689,1.0470725881311458,15.023667335510254,10.539424781588412,1432.6834433035715,0.7671156024177852,0.7525607077686227,1.0495092897064398,10.539424781588412,10.539424896240234,0.5359517536304299,0.5359517536304299
2,0.1,13.799502890608283,15.342129707336426,10.151497416869415,0.13799502890608284,0.7071595717475951,0.6932232897672793,0.9632571664618697,15.322060585021973,10.151497416869415,1379.9502890608283,0.7099554434967124,0.6971618029557934,0.965203141148226,10.151497416869415,10.151497840881348,0.5137069490269963,0.5137069490269963
0,0.3,13.99072194087601,14.992730140686035,10.292166230103998,0.1399072194087601,0.8220317524135656,0.815676934275748,0.9550625226056195,14.973004341125488,10.292166230103998,1399.072194087601,0.8228868467673411,0.8169654692841144,0.9553538171369903,10.292166230103998,10.292165756225586,0.5894078434465142,0.5894078434465142
1,0.3,14.382639272299235,14.635187149047852,10.580477179353984,0.14382639272299236,0.8650727689477449,0.8585528884051646,1.0014473459701552,14.615462303161621,10.580477179353984,1438.2639272299234,0.8665886297330039,0.8602529144163323,1.001765235291136,10.580477179353984,10.580476760864258,0.6117417366543833,0.6117417366543833
2,0.3,13.81706475992297,14.958539962768555,10.164416670004597,0.1381706475992297,0.832543363327988,0.8255089937418758,0.9799300427387927,14.93937873840332,10.164416670004597,1381.7064759922969,0.8334930055386843,0.8270157036637144,0.9802425087292228,10.164416670004597,10.164416313171387,0.5724951364354381,0.5724951364354381
0,0.6,14.166647347138909,14.633874893188477,10.421584392583965,0.14166647347138908,1.0085833417079275,1.0076562571056533,1.0179159492484442,14.581342697143555,10.421584392583965,1416.664734713891,1.00833544831187,1.0073951593857378,1.0179249133996446,5.63984389159868,5.639843940734863,0.8689692410564163,0.8689692410564163
1,0.6,14.359345522482442,14.777458190917969,10.56334131272394,0.14359345522482442,1.0001167495946626,0.9991841413564582,1.0087476723925584,14.723183631896973,10.56334131272394,1435.9345522482442,0.9997968000301498,0.9990315310585491,1.0087567674849884,5.7165584169555155,5.716558456420898,0.8736123515719311,0.8736123515719311
2,0.6,14.018726949547894,14.998818397521973,10.312767897819544,0.14018726949547894,0.9880213495270663,0.9872665710775886,0.9957367153906185,14.939791679382324,10.312767897819544,1401.8726949547893,0.9882353184215663,0.9875406866888425,0.9957439376399323,5.580955720646572,5.580955505371094,0.8907618813498015,0.8907618813498015
0,0.9,13.920668083955784,14.25126838684082,10.24063165286561,0.13920668083955784,0.9323664755056947,0.932356244256794,0.9324342076836731,9.568315505981445,18.923149125224015,1392.0668083955784,0.9323977852842307,0.9323480106272187,0.9324342624412881,10.24063165286561,18.92314910888672,0.9296096479454629,0.932434262504381
1,0.9,14.402045303275958,13.83480453491211,10.594753075731816,0.1440204530327596,0.981936953203604,0.9819091151992144,0.9819963182514098,9.344905853271484,5.733557505870477,1440.2045303275959,0.9818979937757738,0.9818976584606224,0.9819964432609583,36.17630218328515,5.73355770111084,0.9819964432468897,1.0065586273112284
2,0.9,13.835097704808026,14.606369018554688,10.177682466234387,0.13835097704808028,0.9445161568974724,0.9445015111350866,0.9446405694992644,10.05284595489502,10.177682466234387,1383.5097704808027,0.9444748146764191,0.9444738068187677,0.9446406707819576,5.507851601592308,18.806827545166016,0.9436833844743765,0.9446406707954301
