embedding,label,n_cells,n_classes,knn_k,knn_local_purity,random_local_purity,knn_purity_enrichment,silhouette
NMF PSI homo,medium_cell_type,30000,59,15,0.5139711111111112,0.08506517777777776,6.042085898577641,-0.19476957619190216
NMF PSI hetero q25,medium_cell_type,30000,59,15,0.5490711111111111,0.08506517777777776,6.454710675448082,-0.21102502942085266
Semi-NMF PSI homo,medium_cell_type,30000,59,15,0.5488333333333333,0.08506517777777776,6.451915433211606,-0.21272176504135132
Semi-NMF PSI hetero q25,medium_cell_type,30000,59,15,0.5759488888888888,0.08506517777777776,6.770677543206739,-0.2034091204404831
