label,n_programs,n_cells,n_classes,accuracy,balanced_accuracy,majority_accuracy,majority_balanced_accuracy
broad_cell_type,20,142315,11,0.7711852497259619,0.6978195410465018,0.2546445937210152,0.09090909090909091
medium_cell_type,20,142312,58,0.5235538816122323,0.37872050045615824,0.21690370453651134,0.017241379310344827
specific_cell_type,20,142181,132,0.38060541270466436,0.28098849308680124,0.0847071400438868,0.007575757575757576
