fit,method,factor_path,target_transform,n_cells,n_junctions,prox_rank,nmf_rank,batch_size,epochs,semi_ridge,semi_nnls_iter,train_seconds,transform_seconds,eval_rows,eval_rmse,signed_loading_min,signed_loading_max,W_path,npz_path
psi_homo,semi_nmf,/home/david/projects/matlap/analyses/splicing_proximal/outputs/subset10k_psi_rsvd_iter5_lambda300_homo_lambda300_factors.npz,clip,142315,10000,7,20,2048,3,0.0001,30,21.280393932014704,5.174762539565563,5000,0.0016651888707579152,-2.2465145587921143,2.2286839485168457,/home/david/projects/matlap/analyses/splicing_proximal/outputs/psi_homo_semi_nmf_W.float32.mmap,/home/david/projects/matlap/analyses/splicing_proximal/outputs/psi_homo_semi_nmf_rank20.npz
psi_hetero_q25,semi_nmf,/home/david/projects/matlap/analyses/splicing_proximal/outputs/subset10k_psi_hetero_q25_floor_iter5_lambda100000_factors.npz,clip,142315,10000,7,20,2048,3,0.0001,30,21.282193902879953,5.079623199999332,5000,0.0013971943705677167,-1.0629583597183228,1.1526744365692139,/home/david/projects/matlap/analyses/splicing_proximal/outputs/psi_hetero_q25_semi_nmf_W.float32.mmap,/home/david/projects/matlap/analyses/splicing_proximal/outputs/psi_hetero_q25_semi_nmf_rank20.npz
