embedding,cell_type,factor,mean_z_usage,n_cells
atlas SP,Stem cell,F20,-0.1953824907541275,8661
atlas SP,Vascular cell,F1,-0.6022379398345947,7476
atlas SP,Vascular cell,F2,-0.5682529807090759,7476
atlas SP,Vascular cell,F3,-0.41734984517097473,7476
atlas SP,Vascular cell,F4,-0.41127321124076843,7476
atlas SP,Vascular cell,F5,-0.3263522684574127,7476
atlas SP,Vascular cell,F6,-0.29875439405441284,7476
atlas SP,Vascular cell,F7,-0.2699189782142639,7476
atlas SP,Vascular cell,F8,0.008628408424556255,7476
atlas SP,Vascular cell,F9,-0.16412797570228577,7476
atlas SP,Vascular cell,F10,-0.1414925754070282,7476
atlas SP,Vascular cell,F11,-0.12051818519830704,7476
atlas SP,Vascular cell,F12,-0.5893999338150024,7476
atlas SP,Vascular cell,F13,0.4082110524177551,7476
atlas SP,Vascular cell,F14,0.366894394159317,7476
atlas SP,Vascular cell,F15,-0.09826869517564774,7476
atlas SP,Vascular cell,F16,1.5755789279937744,7476
atlas SP,Vascular cell,F17,-0.045150719583034515,7476
atlas SP,Vascular cell,F18,-0.007770124822854996,7476
atlas SP,Vascular cell,F19,0.12305257469415665,7476
atlas SP,Vascular cell,F20,-0.12406368553638458,7476
atlas SP,Stromal cell,F1,-0.6086980104446411,5401
atlas SP,Stromal cell,F2,-0.5712133049964905,5401
atlas SP,Stromal cell,F3,-0.41419434547424316,5401
atlas SP,Stromal cell,F4,-0.43039554357528687,5401
atlas SP,Stromal cell,F5,-0.3390415906906128,5401
atlas SP,Stromal cell,F6,-0.30572596192359924,5401
atlas SP,Stromal cell,F7,-0.3038337826728821,5401
atlas SP,Stromal cell,F8,-0.08661207556724548,5401
atlas SP,Stromal cell,F9,-0.16616886854171753,5401
atlas SP,Stromal cell,F10,-0.197777658700943,5401
atlas SP,Stromal cell,F11,-0.1548289954662323,5401
atlas SP,Stromal cell,F12,-0.6173053979873657,5401
atlas SP,Stromal cell,F13,0.9250133633613586,5401
atlas SP,Stromal cell,F14,1.6245018243789673,5401
atlas SP,Stromal cell,F15,-0.16250547766685486,5401
atlas SP,Stromal cell,F16,0.8968092799186707,5401
atlas SP,Stromal cell,F17,-0.14249198138713837,5401
atlas SP,Stromal cell,F18,-0.05986747518181801,5401
atlas SP,Stromal cell,F19,-0.08874882012605667,5401
atlas SP,Stromal cell,F20,-0.226620614528656,5401
atlas SP,Muscle cell,F1,-0.5975391864776611,4930
atlas SP,Muscle cell,F2,-0.5665711164474487,4930
atlas SP,Muscle cell,F3,-0.4145207107067108,4930
atlas SP,Muscle cell,F4,-0.26715534925460815,4930
atlas SP,Muscle cell,F5,-0.32886314392089844,4930
atlas SP,Muscle cell,F6,-0.2955174744129181,4930
atlas SP,Muscle cell,F7,-0.26856499910354614,4930
atlas SP,Muscle cell,F8,-0.007217598147690296,4930
atlas SP,Muscle cell,F9,-0.12279268354177475,4930
atlas SP,Muscle cell,F10,-0.08958828449249268,4930
atlas SP,Muscle cell,F11,-0.13410429656505585,4930
atlas SP,Muscle cell,F12,-0.5678802728652954,4930
atlas SP,Muscle cell,F13,0.2556392550468445,4930
atlas SP,Muscle cell,F14,1.275489091873169,4930
atlas SP,Muscle cell,F15,-0.09645631164312363,4930
atlas SP,Muscle cell,F16,0.9894911646842957,4930
atlas SP,Muscle cell,F17,-0.024748068302869797,4930
atlas SP,Muscle cell,F18,0.01291949674487114,4930
atlas SP,Muscle cell,F19,0.03681309148669243,4930
atlas SP,Muscle cell,F20,0.0025526133831590414,4930
atlas SP,Pancreatic cell,F1,-0.4988436698913574,2194
atlas SP,Pancreatic cell,F2,-0.5388340950012207,2194
atlas SP,Pancreatic cell,F3,-0.29818543791770935,2194
atlas SP,Pancreatic cell,F4,-0.26447391510009766,2194
atlas SP,Pancreatic cell,F5,-0.2741820514202118,2194
atlas SP,Pancreatic cell,F6,-0.24616435170173645,2194
atlas SP,Pancreatic cell,F7,-0.17887118458747864,2194
atlas SP,Pancreatic cell,F8,0.19289785623550415,2194
atlas SP,Pancreatic cell,F9,-0.1559331864118576,2194
atlas SP,Pancreatic cell,F10,0.004583160858601332,2194
atlas SP,Pancreatic cell,F11,0.1104617491364479,2194
atlas SP,Pancreatic cell,F12,0.7986020445823669,2194
atlas SP,Pancreatic cell,F13,0.3160247504711151,2194
atlas SP,Pancreatic cell,F14,0.7895640134811401,2194
atlas SP,Pancreatic cell,F15,0.6293375492095947,2194
atlas SP,Pancreatic cell,F16,-0.364827036857605,2194
atlas SP,Pancreatic cell,F17,0.448019415140152,2194
atlas SP,Pancreatic cell,F18,-0.013508765026926994,2194
atlas SP,Pancreatic cell,F19,0.2732427418231964,2194
atlas SP,Pancreatic cell,F20,0.1563071757555008,2194
atlas SP,Intestinal cell,F1,-0.5916317701339722,1450
atlas SP,Intestinal cell,F2,-0.5640668869018555,1450
atlas SP,Intestinal cell,F3,-0.3957348167896271,1450
atlas SP,Intestinal cell,F4,-0.4285060167312622,1450
atlas SP,Intestinal cell,F5,-0.3267718255519867,1450
atlas SP,Intestinal cell,F6,-0.29576176404953003,1450
atlas SP,Intestinal cell,F7,-0.2321498841047287,1450
atlas SP,Intestinal cell,F8,0.2362990826368332,1450
atlas SP,Intestinal cell,F9,-0.14683300256729126,1450
atlas SP,Intestinal cell,F10,-0.15474984049797058,1450
atlas SP,Intestinal cell,F11,3.7162415981292725,1450
atlas SP,Intestinal cell,F12,1.5583386421203613,1450
atlas SP,Intestinal cell,F13,-0.16663995385169983,1450
atlas SP,Intestinal cell,F14,-0.32774126529693604,1450
atlas SP,Intestinal cell,F15,2.167076826095581,1450
atlas SP,Intestinal cell,F16,-0.5736600160598755,1450
atlas SP,Intestinal cell,F17,-0.03188179060816765,1450
atlas SP,Intestinal cell,F18,-0.007907455787062645,1450
atlas SP,Intestinal cell,F19,0.18382461369037628,1450
atlas SP,Intestinal cell,F20,-0.06049082428216934,1450
