embedding,cell_type,factor,mean_z_usage,n_cells
atlas SP,Skin epithelial cell,F14,-0.30076998472213745,7347
atlas SP,Skin epithelial cell,F15,-0.18255771696567535,7347
atlas SP,Skin epithelial cell,F16,-0.09088270366191864,7347
atlas SP,Skin epithelial cell,F17,-0.11878073960542679,7347
atlas SP,Skin epithelial cell,F18,-0.2571580410003662,7347
atlas SP,Skin epithelial cell,F19,-0.255248099565506,7347
atlas SP,Skin epithelial cell,F20,0.917071521282196,7347
atlas SP,Endothelial cell,F1,-0.5683114528656006,7044
atlas SP,Endothelial cell,F2,-0.41776973009109497,7044
atlas SP,Endothelial cell,F3,-0.6022638082504272,7044
atlas SP,Endothelial cell,F4,-0.2990877628326416,7044
atlas SP,Endothelial cell,F5,-0.32639142870903015,7044
atlas SP,Endothelial cell,F6,1.5960350036621094,7044
atlas SP,Endothelial cell,F7,-0.16364802420139313,7044
atlas SP,Endothelial cell,F8,-0.4132574796676636,7044
atlas SP,Endothelial cell,F9,-0.13952948153018951,7044
atlas SP,Endothelial cell,F10,0.3375408351421356,7044
atlas SP,Endothelial cell,F11,-0.12102983891963959,7044
atlas SP,Endothelial cell,F12,-0.09620122611522675,7044
atlas SP,Endothelial cell,F13,-0.5916500091552734,7044
atlas SP,Endothelial cell,F14,-0.2711206376552582,7044
atlas SP,Endothelial cell,F15,0.3574165105819702,7044
atlas SP,Endothelial cell,F16,0.014869955368340015,7044
atlas SP,Endothelial cell,F17,0.12522931396961212,7044
atlas SP,Endothelial cell,F18,-0.054776810109615326,7044
atlas SP,Endothelial cell,F19,-0.12783901393413544,7044
atlas SP,Endothelial cell,F20,-0.006893543992191553,7044
atlas SP,Mesenchymal stem cell,F1,-0.5709651112556458,4755
atlas SP,Mesenchymal stem cell,F2,-0.415461003780365,4755
atlas SP,Mesenchymal stem cell,F3,-0.6095060110092163,4755
atlas SP,Mesenchymal stem cell,F4,-0.3083789348602295,4755
atlas SP,Mesenchymal stem cell,F5,-0.34353339672088623,4755
atlas SP,Mesenchymal stem cell,F6,0.8064906001091003,4755
atlas SP,Mesenchymal stem cell,F7,-0.16016699373722076,4755
atlas SP,Mesenchymal stem cell,F8,-0.44305679202079773,4755
atlas SP,Mesenchymal stem cell,F9,-0.20041967928409576,4755
atlas SP,Mesenchymal stem cell,F10,1.737210988998413,4755
atlas SP,Mesenchymal stem cell,F11,-0.15546397864818573,4755
atlas SP,Mesenchymal stem cell,F12,-0.13321316242218018,4755
atlas SP,Mesenchymal stem cell,F13,-0.6117828488349915,4755
atlas SP,Mesenchymal stem cell,F14,-0.29459303617477417,4755
atlas SP,Mesenchymal stem cell,F15,2.0264718532562256,4755
atlas SP,Mesenchymal stem cell,F16,-0.07555511593818665,4755
atlas SP,Mesenchymal stem cell,F17,0.03938553109765053,4755
atlas SP,Mesenchymal stem cell,F18,-0.1112886518239975,4755
atlas SP,Mesenchymal stem cell,F19,-0.18411721289157867,4755
atlas SP,Mesenchymal stem cell,F20,-0.06485980749130249,4755
atlas SP,Fibroblast,F1,-0.5710054636001587,4600
atlas SP,Fibroblast,F2,-0.41457706689834595,4600
atlas SP,Fibroblast,F3,-0.6083546280860901,4600
atlas SP,Fibroblast,F4,-0.3057396411895752,4600
atlas SP,Fibroblast,F5,-0.33928149938583374,4600
atlas SP,Fibroblast,F6,0.9694631099700928,4600
atlas SP,Fibroblast,F7,-0.1798281967639923,4600
atlas SP,Fibroblast,F8,-0.42962417006492615,4600
atlas SP,Fibroblast,F9,-0.20088431239128113,4600
atlas SP,Fibroblast,F10,1.5130703449249268,4600
atlas SP,Fibroblast,F11,-0.15380121767520905,4600
atlas SP,Fibroblast,F12,-0.16874344646930695,4600
atlas SP,Fibroblast,F13,-0.6222243309020996,4600
atlas SP,Fibroblast,F14,-0.30348095297813416,4600
atlas SP,Fibroblast,F15,0.7867496013641357,4600
atlas SP,Fibroblast,F16,-0.08468792587518692,4600
atlas SP,Fibroblast,F17,-0.09237155318260193,4600
atlas SP,Fibroblast,F18,-0.14349117875099182,4600
atlas SP,Fibroblast,F19,-0.2416074573993683,4600
