fit,factor_path,target_transform,n_cells,n_junctions,prox_rank,nmf_rank,batch_size,epochs,alpha,l1_ratio,train_seconds,transform_seconds,eval_rows,eval_rmse,W_path,npz_path
psi_homo,/home/david/projects/matlap/analyses/splicing_proximal/outputs/subset10k_psi_rsvd_iter5_lambda300_homo_lambda300_factors.npz,clip,142315,10000,7,20,2048,3,0.0,0.0,40.49112140387297,26.434106145054102,5000,0.01431481064181212,/home/david/projects/matlap/analyses/splicing_proximal/outputs/psi_homo_nmf_W.float32.mmap,/home/david/projects/matlap/analyses/splicing_proximal/outputs/psi_homo_nmf_rank20.npz
psi_hetero_q25,/home/david/projects/matlap/analyses/splicing_proximal/outputs/subset10k_psi_hetero_q25_floor_iter5_lambda100000_factors.npz,clip,142315,10000,7,20,2048,3,0.0,0.0,40.74807141162455,27.62957650795579,5000,0.008898513326882808,/home/david/projects/matlap/analyses/splicing_proximal/outputs/psi_hetero_q25_nmf_W.float32.mmap,/home/david/projects/matlap/analyses/splicing_proximal/outputs/psi_hetero_q25_nmf_rank20.npz
