value_space,noise_model,lambda,rank,obs_rmse,iso_row_taylor_loo_rmse,iso_row_taylor_elbo,g
logit,homo,1000.0,13,1.5344250202178955,26.74892953782293,1901385855.4685776,2.3544602394104004
logit,hetero,3000.0,13,2.545626640319824,5.467175284132315,-310439482.9037945,1.0
logit,combined,1000.0,2,2.115076303482056,9.779364494197909,1500006620.8194587,2.168306827545166
psi,homo,300.0,7,0.2759876251220703,27.59876238069668,1922415981.1090035,0.0761691704392433
psi,hetero,1000000.0,13,0.5386585593223572,3.1981560446863933,-34319246517.96494,1.0
psi,combined,300.0,50,0.2592830061912536,25.928301022491794,1894828759.7154856,0.0512965582311153
